keypoint_id,frame_number,x,y
0,0,201.0,41.0
0,1,201.85656754639416,40.95997556970897
0,2,203.0502361014084,40.974389958573504
0,3,204.23037900673407,40.86852514320533
0,4,205.20629033435802,40.786076204814485
0,5,206.3850766125475,40.76796256905783
0,6,207.5594890403833,40.8189018928949
0,7,208.5802174257257,40.60932402806524
0,8,209.83419506565102,40.46483241276776
0,9,211.01480114851194,40.48054121811397
0,10,212.14581803996728,40.5544280207137
0,11,213.3500220415752,40.529298606211086
0,12,214.37485791940497,40.335984731063434
0,13,215.4287958833652,40.4640804853887
0,14,216.54823808961095,40.46281118889232
0,15,217.60933023468456,40.509573060578845
0,16,218.88634428261796,40.68603018780733
0,17,220.1299135017253,40.916546255094744
0,18,221.1821761497085,40.90270057955398
0,19,222.40530412695222,40.90144277274806
0,20,223.65062283657366,40.66433636125146
0,21,224.67271300875205,41.14624679064859
0,22,225.77464200350835,41.06405045936662
0,23,226.9198258607884,41.27768051208171
0,24,227.8906459417662,41.05059201220253
0,25,229.18408126377312,41.103764575715765
0,26,230.21737820627214,41.21275346494614
0,27,231.2491643137003,41.363056025417734
0,28,232.5711848370002,41.34764565610748
0,29,233.6182258437702,41.291468015265856
0,30,234.67099332564445,41.12064609373602
0,31,235.72845068366266,41.15231476473279
0,32,237.03035080195062,41.33211596265806
0,33,238.24836470947616,41.245865826337194
0,34,239.30485240299652,41.26351588155761
0,35,240.49234356716752,41.40392381483476
0,36,241.85311634514858,41.53518661514519
0,37,242.67371839997406,41.75837068937086
0,38,243.86925421447347,41.49210691560014
0,39,245.07988695086226,41.816792023755625
0,40,246.1928076262135,41.65975497467585
0,41,247.25741414636772,41.743311406543654
0,42,248.44377266439767,41.88777238285032
0,43,249.36605753150806,41.98103910808146
0,44,250.5131964898736,41.942998431638465
0,45,251.65186533752936,42.05496048770916
0,46,252.52059385417647,41.980744715934506
0,47,253.3877898404043,41.827892590244986
0,48,254.3492699589746,41.88215362321415
0,49,255.37729628107533,41.90981031509444
1,0,190.0,62.0
1,1,190.3214580269183,61.71117994106271
1,2,191.21507702962973,62.085404469830685
1,3,192.08737086127158,62.23622512835724
1,4,192.94207901756144,62.80695990974801
1,5,193.8611233022882,62.98479816475882
1,6,194.6448586872357,63.36250176785597
1,7,195.60580436678896,63.5545189647636
1,8,196.41700834281747,63.671831765323674
1,9,197.20411453221217,64.1991779425848
1,10,198.09808056618962,64.71443984395266
1,11,199.01410457565422,64.89009174000435
1,12,199.76046664774526,65.35313322766369
1,13,200.60862316655786,65.86232161311011
1,14,201.4651666527717,66.29328161729887
1,15,202.2261577077576,66.95453243441028
1,16,203.0486015191947,67.20418571522607
1,17,203.73863542778537,68.04607193745977
1,18,204.68478964252438,68.61067442184022
1,19,205.40351370544445,69.34002729330933
1,20,206.1639578463902,69.81737964176723
1,21,206.87755139955792,70.77330374970224
1,22,207.7073369490312,71.34387001388338
1,23,208.46931343536565,71.92253996710389
1,24,209.22626339245375,72.6659216393002
1,25,209.9585576465657,73.30453014255828
1,26,210.77634947660943,74.06560747030711
1,27,211.52119888374236,74.56730334279641
1,28,212.41983962742444,75.09482528632853
1,29,213.073285482817,75.64135571380558
1,30,213.78382515764505,76.2908928217602
1,31,214.76473497842113,76.89266310963012
1,32,215.74783930576717,77.3942536287793
1,33,216.72951418848766,78.12515395829678
1,34,217.4729576114679,78.78089913773701
1,35,218.26786591396052,79.37389874830252
1,36,219.3134636427078,79.85313124594225
1,37,219.930540951607,80.45042939412856
1,38,220.89996459784635,80.79237853864137
1,39,221.6847553518975,81.30517967611628
1,40,222.3502813317895,81.95000885628927
1,41,223.1316899419909,82.45655176586652
1,42,223.78324195988148,82.8353097222416
1,43,224.47749338358352,83.37942902683304
1,44,225.4346327127906,83.62545598606538
1,45,226.02465645815306,84.11167920477259
1,46,226.4507450827932,84.51928294930332
1,47,227.02936841827128,84.90378840248884
1,48,227.63592414671857,85.32246600505182
1,49,228.37058087190852,85.82539967197336
2,0,264.0,64.0
2,1,265.16994260379056,64.3296229874774
2,2,266.584142263168,64.26477915301783
2,3,268.22494623711657,64.15432784959748
2,4,269.5657384847837,64.33761114737253
2,5,271.1192301397787,64.28311323318424
2,6,272.42659332161924,64.24993536163743
2,7,273.89779675590427,64.15326508459026
